op,operator_run,status,already_in_ncnn,kernel_numeric,kernel_max_diff,e2e,e2e_max_diff,compile,correctness,correctness_max_diff,native_supported,speedup_shipped,speedup_fair,ours_ms,native_shipped_ms,native_fair_ms
ConvTranspose_2D__asymmetric_input__asymmetric_kernel,True,fail,True,success,5.662441253662109e-07,False,1.225068211555481,,,,,,,,,
ConvTranspose_dilations,True,success,True,success,0.00052642822265625,True,0.00049591064453125,True,True,0.00049591064453125,True,0.244,0.234,23.74,5.8,7.38
Conv_with_strides_no_padding,True,success,True,success,0.0004425048828125,True,0.0004425048828125,True,True,0.0004425048828125,True,,,,,
Conv_with_strides_padding,True,success,True,success,0.0,True,0.0,True,True,0.0,True,0.329,1.04,1.64,0.54,1.29
ConvolutionDepthwise,True,fail,,fail,2.7881665229797363,,,,,,,,,,,
Cos,True,success,True,success,5.960464477539063e-08,True,5.960464477539063e-08,True,True,5.960464477539063e-08,True,0.651,0.835,1.09,0.71,0.91
Cosh,True,success,True,success,1.9073486328125e-06,True,3.814697265625e-06,True,True,3.814697265625e-06,True,1.409,0.932,0.44,0.62,0.41
CumSum,True,success,True,success,2.384185791015625e-06,True,2.384185791015625e-06,True,True,2.384185791015625e-06,True,1.0,1.0,0.01,0.01,0.01
DeconvolutionDepthwise_2D_kernel,True,success,True,success,7.152557373046875e-07,True,0.0013301372528076172,True,True,0.0013301372528076172,True,0.379,2.918,13.19,5.0,38.52
DeconvolutionDepthwise_2D_stride,True,success,True,success,2.384185791015625e-07,True,0.0013575553894042969,True,True,0.0013575553894042969,True,0.92,7.855,23.36,21.48,183.34
Deconvolution_1D,True,success,True,success,6.854534149169922e-07,True,0.0005924105644226074,True,True,0.0005924105644226074,True,5.353,7.0,0.34,1.82,1.82
Deconvolution_2D__asymmetric_input__asymmetric_kernel,True,success,True,success,5.364418029785156e-07,True,0.00030541419982910156,True,True,0.00030541419982910156,True,0.036,0.087,600.29,21.61,52.5
Deconvolution_2D_asymmetric_input_square_kernel___dilated____padded____strided__,True,success,True,success,0.0,True,0.00014504790306091309,True,True,0.00014504790306091309,True,0.086,0.08,277.31,23.77,22.2
Dense_Convolution_1D,True,success,True,success,0.0,True,0.0005218982696533203,True,True,0.0005218982696533203,True,3.158,1.737,0.19,0.6,0.33
Dense_Convolution_2D,True,success,True,success,0.0,True,0.0012211799621582031,True,True,0.0012211799621582031,True,0.006,0.01,387.69,2.35,3.91
Dense_Convolution_2D__asymmetric_input__square_kernel,True,success,True,success,0.0,True,0.000510871410369873,True,True,0.000510871410369873,True,0.027,0.018,269.84,7.23,17.11
