op,host_status,device_status,ours_gpu_ms,native_gpu_ms,speedup_fair,rounds
Reciprocal,crash,,,,,
ReduceL1,success,passed,0.1861,,,1
ReduceL1_2d_input,success,passed,0.272,0.2483,0.913,1
ReduceL1_multiple_axes,success,passed,0.2109,0.1929,0.915,2
ReduceL2,success,passed,0.1875,0.2028,1.082,3
ReduceL2_2d_input,success,passed,0.2781,0.2467,0.887,2
ReduceL2_keepdims,success,passed,0.1008,0.1964,1.948,3
ReduceL2_multiple_axes,success,passed,0.2159,0.2142,0.992,2
ReduceLogSumExp,success,passed,0.1977,0.202,1.022,3
ReduceLogSumExp_2d_input,success,passed,0.5867,0.2709,0.462,2
ReduceLogSumExp_keepdims,success,passed,0.1819,0.2389,1.313,2
ReduceLogSumExp_multiple_axes,success,passed,0.1872,0.2014,1.076,2
ReduceMax,success,passed,4.8116,72.7733,15.125,3
ReduceMax_empty_axes,success,passed,54.3767,,,1
ReduceMax_with_negative_values,success,passed,4.8692,73.9076,15.179,3
ReduceMean,success,passed,4.9337,73.3048,14.858,4
ReduceMean_keepdims,success,passed,9.4266,273.8335,29.049,5
ReduceMean_multiple_axes,success,passed,5.4118,8.0249,1.483,12
ReduceMin,success,passed,1.1708,17.2971,14.774,6
ReduceMin_empty_axes,success,passed,2.2452,,,1
ReduceMin_with_negative_values,success,passed,4.8907,73.0876,14.944,4
ReduceProd,success,passed,0.3235,8.6009,26.587,4
ReduceProd_1d,success,passed,0.2029,,,1
ReduceProd_keepdims,success,passed,0.964,17.6715,18.331,3
ReduceSum,success,passed,1.1483,12.8688,11.207,15
ReduceSum_empty_axes,success,passed,0.119,0.2695,2.265,2
ReduceSum_multiple_axes,crash,,,,,
Relu,success,passed,0.2284,0.2157,0.944,1
Reshape,success,,,,,3
Round,crash,,,,,
ScatterElements,crash,,,,,
Sign,crash,,,,,
Sin,success,,,,,2
Sinh,crash,,,,,
Slice,crash,,,,,
Softmax,success,passed,5.7243,2.8144,0.492,2
Softplus_2d,success,passed,0.1189,0.1866,1.569,1
Softplus_3d,success,passed,0.2774,0.2683,0.967,1
Sqrt,crash,,,,,
Stft,success,passed,11.2486,0.1916,0.017,5
Strassen_Convolution_2D,success,passed,2.0088,1.2274,0.611,2
StridedSlice,crash,,,,,
Sub,success,passed,0.7404,0.412,0.556,1
Tan,crash,,,,,
Tanh,crash,,,,,
Tile,crash,,,,,
TopK,crash,,,,,
TopK_3d,crash,,,,,
TopK_dim0,crash,,,,,
TopK_indices,crash,,,,,
TopK_sorted,crash,,,,,
Trilu_lower,crash,,,,,
Trilu_uppper,crash,,,,,
Unique,crash,,,,,
Unique_sorted_with_axis,crash,,,,,
Unique_sorted_with_axis_3d,crash,,,,,
Where,crash,,,,,
Where_broadcast,crash,,,,,
Where_scalar,crash,,,,,
Winograd_Convolution_2D,success,passed,31.2994,8.976,0.287,3
Winograd_Convolution_2D_padding,success,passed,2.6915,2.6803,0.996,2
