op,category,backend,status,regime,rounds,coverage,kept_rounds,improved,baseline_ms,best_ms,self_speedup,baseline_cell,winner_cell,bins_covered,device,stopped_reason,flag
Winograd_Convolution_2D,Convolution,arm,success,compute_bound,21,4,6,True,24.0008,19.4765,1.2323,direct/scalar,winograd/vec,winograd/vec=19.48; direct/vec=22.3; gemm/vec=23.72; direct/scalar=24,f390edc4,budget (20) reached,real
Dense_Convolution_2D_kernel,Convolution,arm,success,compute_bound,20,2,2,True,217.5508,155.321,1.4007,direct/scalar,gemm/vec,gemm/vec=155.3; direct/scalar=217.6,f390edc4,budget (20) reached,real
ConvTranspose_dilations,Convolution,arm,success,compute_bound,13,2,2,False,13.9162,13.9162,1.0,direct/scalar,direct/scalar,direct/scalar=13.92; gemm/vec=29.38,f390edc4,converged (patience),real
Dense_Convolution_2D,Convolution,arm,success,compute_bound,19,3,5,True,9.729,1.2919,7.5308,direct/scalar,gemm/vec,gemm/vec=1.292; direct/vec=1.438; direct/scalar=9.729,f390edc4,converged (patience),real
Sinh,Trigonometry,arm,success,memory_bound,23,4,5,True,5.561,4.4784,1.2417,nchw/none,nchw/single,nchw/single=4.478; packed/double=4.662; nhwc/none=5.183; nchw/none=5.561,f390edc4,budget (20) reached,real
Asin,Trigonometry,arm,success,memory_bound,24,4,4,True,4.1634,3.0858,1.3492,nchw/none,nhwc/none,nhwc/none=3.086; nchw/single=3.125; nchw/none=3.398; packed/single=3.829,f390edc4,budget (20) reached,real
Deconvolution_2D_asymmetric_input_square_kernel___dilated____padded____strided__,Convolution,arm,success,compute_bound,18,3,3,False,3.6292,3.6292,1.0,direct/scalar,direct/scalar,direct/scalar=3.629; gemm/scalar=3.661; gemm/vec=3.726,f390edc4,converged (patience),real
Round,Unary,arm,success,memory_bound,20,4,3,True,2.9081,2.7054,1.0749,nchw/none,packed/single,packed/single=2.705; nchw/single=2.775; nhwc/single=2.804; nchw/none=2.908,f390edc4,budget (20) reached,real
Exp,Unary,arm,success,memory_bound,21,4,4,True,2.8531,2.1606,1.3205,nchw/none,packed/double,packed/double=2.161; packed/single=2.172; nhwc/none=2.365; nchw/none=2.853,f390edc4,budget (20) reached,real
Group_Convolution_2D,Convolution,arm,success,compute_bound,21,3,3,True,2.1714,0.497,4.369,direct/scalar,direct/vec,direct/vec=0.497; gemm/vec=0.5443; direct/scalar=2.171,f390edc4,budget (20) reached,real
Cos,Trigonometry,arm,success,memory_bound,23,4,4,True,1.6946,1.4242,1.1899,nchw/none,nchw/none,nchw/none=1.424; packed/none=1.455; packed/double=1.478; nhwc/single=1.643,f390edc4,budget (20) reached,real
Winograd_Convolution_2D_padding,Convolution,arm,success,compute_bound,23,3,3,True,1.4657,0.5499,2.6654,direct/scalar,gemm/vec,gemm/vec=0.5499; direct/vec=1.008; direct/scalar=1.466,f390edc4,budget (20) reached,real
Floor,Unary,arm,success,memory_bound,21,5,5,True,1.2573,1.1526,1.0908,nchw/none,nhwc/none,nhwc/none=1.153; packed/none=1.201; nhwc/single=1.244; nchw/none=1.257; nchw/single=1.305,f390edc4,budget (20) reached,real
Strassen_Convolution_2D,Convolution,arm,success,compute_bound,20,3,3,True,1.1589,0.3169,3.657,direct/scalar,gemm/vec,gemm/vec=0.3169; direct/vec=0.7257; direct/scalar=1.159,f390edc4,budget (20) reached,real
Tan,Trigonometry,arm,success,memory_bound,15,2,2,False,0.9838,0.9838,1.0,nchw/none,nchw/none,nchw/none=0.9838; nchw/single=0.9873,f390edc4,converged (patience),real
Asinh,Trigonometry,arm,success,memory_bound,20,4,4,True,0.3911,0.2891,1.3528,nchw/none,packed/single,packed/single=0.2891; nhwc/none=0.3644; nchw/single=0.3721; nchw/none=0.3878,f390edc4,budget (20) reached,real
Group_Convolution_2D_kernel,Convolution,arm,success,compute_bound,20,3,2,True,0.2641,0.0331,7.9789,direct/scalar,direct/vec,direct/vec=0.0331; gemm/vec=0.0526; direct/scalar=0.2641,f390edc4,budget (20) reached,real
Cosh,Trigonometry,arm,success,memory_bound,22,4,5,True,0.2402,0.1886,1.2736,nchw/none,packed/single,packed/single=0.1886; nhwc/single=0.2108; nchw/single=0.2401; nchw/none=0.2402,f390edc4,converged (patience),real
Atanh,Trigonometry,arm,success,memory_bound,20,2,2,True,0.2067,0.2013,1.0268,nchw/none,nhwc/single,nhwc/single=0.2013; nchw/none=0.2067,f390edc4,budget (20) reached,real
Conv,Convolution,arm,success,compute_bound,21,3,4,True,0.1755,0.0278,6.3129,direct/scalar,direct/vec,direct/vec=0.0278; gemm/vec=0.0741; direct/scalar=0.1755,f390edc4,budget (20) reached,real
Conv3D,Convolution,arm,success,compute_bound,21,3,3,True,38.7727,12.3796,3.132,direct/scalar,direct/vec,direct/vec=12.38; gemm/vec=13; direct/scalar=38.77,f390edc4,budget (20) reached,real
Clip,Tensor,arm,success,memory_bound,22,3,3,True,6.7475,6.2002,1.0883,nchw/none,nhwc/none,nhwc/none=6.2; nhwc/single=6.233; nchw/none=6.747,f390edc4,budget (20) reached,real
Dense_Convolution_1D,Convolution,arm,success,compute_bound,19,3,4,True,2.2347,0.2927,7.6348,direct/scalar,gemm/vec,gemm/vec=0.2927; direct/vec=0.5299; direct/scalar=2.235,f390edc4,converged (patience),real
DeconvolutionDepthwise_2D_kernel,Convolution,arm,success,memory_bound,24,3,2,True,1.2305,0.4867,2.5283,nchw/none,nchw/single,nchw/single=0.4867; nhwc/single=0.4869; nchw/none=1.23,f390edc4,budget (20) reached,real
DeconvolutionDepthwise_2D_stride,Convolution,arm,success,memory_bound,21,3,2,True,1.1254,0.6754,1.6663,nchw/none,nchw/single,nchw/single=0.6754; nchw/none=1.125; nhwc/single=3.179,f390edc4,budget (20) reached,real
Deconvolution_1D,Convolution,arm,success,compute_bound,23,4,5,True,0.7071,0.4264,1.6583,direct/scalar,direct/vec,direct/vec=0.4264; direct/scalar=0.7071; gemm/scalar=1.06; gemm/vec=2.106,f390edc4,budget (20) reached,real
ReduceMean,Reduction,arm,success,memory_bound,14,3,4,False,0.8721,0.8721,1.0,nchw/none,nchw/none,nchw/none=0.8721; nchw/double=0.9952; nchw/single=1.786,f390edc4,converged (patience),real
ReduceMax_with_negative_values,Reduction,arm,success,memory_bound,24,4,4,True,0.8005,0.5383,1.4871,nchw/none,nchw/none,nchw/none=0.5383; nhwc/single=1.083; nchw/double=2.136; nchw/single=2.706,f390edc4,budget (20) reached,real
ReduceMin_with_negative_values,Reduction,arm,success,memory_bound,17,1,0,False,1.2207,1.2207,1.0,nchw/none,nchw/none,nchw/none=1.221,f390edc4,converged (patience),real
MatMul,Matrix,arm,success,compute_bound,20,2,3,True,0.4325,0.2675,1.6168,direct/scalar,gemm/vec,gemm/vec=0.2675; direct/scalar=0.4325,f390edc4,budget (20) reached,real
