op,category,backend,status,regime,rounds,coverage,kept_rounds,improved,baseline_ms,best_ms,self_speedup,baseline_cell,winner_cell,bins_covered,device,stopped_reason,flag
Winograd_Convolution_2D,Convolution,arm,success,compute_bound,49,4,6,True,22.2797,7.7661,2.8688,direct/scalar,winograd/vec,winograd/vec=7.766; gemm/vec=13.58; direct/scalar=22.28; gemm/scalar=38.82,f390edc4,budget (45) reached,real
Dense_Convolution_2D_kernel,Convolution,arm,success,compute_bound,50,3,2,True,223.7283,61.7173,3.6251,direct/scalar,direct/vec,direct/vec=61.72; gemm/vec=69.49; direct/scalar=223.7,f390edc4,converged (patience),real
ConvTranspose_dilations,Convolution,arm,success,compute_bound,13,3,2,False,13.4278,13.4278,1.0,direct/scalar,direct/scalar,direct/scalar=13.43; gemm/scalar=28.87; gemm/vec=30.56,f390edc4,converged (patience),real
Dense_Convolution_2D,Convolution,arm,success,compute_bound,27,3,2,True,9.3078,1.1983,7.7675,direct/scalar,gemm/vec,gemm/vec=1.198; direct/vec=1.613; direct/scalar=9.308,f390edc4,converged (patience),real
Sinh,Trigonometry,arm,success,memory_bound,35,4,5,True,5.4413,4.089,1.3307,nchw/none,nhwc/none,nhwc/none=4.089; packed/none=4.548; nchw/single=4.7; nchw/none=4.978,f390edc4,converged (patience),real
Asin,Trigonometry,arm,success,memory_bound,46,4,4,True,4.1928,2.9339,1.4291,nchw/none,nhwc/none,nhwc/none=2.934; nchw/single=3.46; nchw/none=3.761; packed/single=4.181,f390edc4,converged (patience),real
Deconvolution_2D_asymmetric_input_square_kernel___dilated____padded____strided__,Convolution,arm,success,compute_bound,46,4,7,True,3.8821,3.2307,1.2016,direct/scalar,direct/vec,direct/vec=3.231; direct/scalar=3.708; gemm/vec=4.086; gemm/scalar=13.51,f390edc4,budget (45) reached,real
Round,Unary,arm,success,memory_bound,50,5,5,True,2.8691,2.6133,1.0979,nchw/none,nhwc/double,nhwc/double=2.613; nchw/single=2.73; nhwc/single=2.816; nchw/none=2.869; nhwc/none=2.948,f390edc4,budget (45) reached,real
Exp,Unary,arm,success,memory_bound,49,4,4,True,2.6627,2.1766,1.2233,nchw/none,nhwc/none,nhwc/none=2.177; nchw/single=2.371; nhwc/single=2.627; nchw/none=2.663,f390edc4,budget (45) reached,real
Group_Convolution_2D,Convolution,arm,success,compute_bound,33,3,3,True,2.1312,0.7793,2.7348,direct/scalar,gemm/vec,gemm/vec=0.7793; direct/vec=0.8913; direct/scalar=2.131,f390edc4,converged (patience),real
Cos,Trigonometry,arm,success,memory_bound,47,5,5,True,1.7007,1.477,1.1515,nchw/none,nchw/single,nchw/single=1.477; nchw/none=1.641; nhwc/single=1.669; packed/none=1.726; packed/single=1.74,f390edc4,budget (45) reached,real
Winograd_Convolution_2D_padding,Convolution,arm,success,compute_bound,20,3,2,True,1.3936,0.4962,2.8085,direct/scalar,gemm/vec,gemm/vec=0.4962; direct/scalar=1.394; direct/vec=1.506,f390edc4,converged (patience),real
Floor,Unary,arm,success,memory_bound,54,4,6,True,1.2414,1.1452,1.084,nchw/none,nchw/single,nchw/single=1.145; nhwc/single=1.154; packed/none=1.226; nchw/none=1.241,f390edc4,budget (45) reached,real
Strassen_Convolution_2D,Convolution,arm,success,compute_bound,22,3,4,True,0.6674,0.2253,2.9623,direct/scalar,gemm/vec,gemm/vec=0.2253; direct/vec=0.5239; direct/scalar=0.6674,f390edc4,converged (patience),real
Tan,Trigonometry,arm,success,memory_bound,43,3,2,True,1.0393,0.7846,1.3246,nchw/none,nchw/single,nchw/single=0.7846; nhwc/none=1.035; nchw/none=1.039,f390edc4,converged (patience),real
Asinh,Trigonometry,arm,success,memory_bound,50,4,5,True,0.3905,0.374,1.0441,nchw/none,nchw/none,nchw/none=0.374; nchw/single=0.3868; nchw/double=0.3875; nhwc/double=0.3895,f390edc4,converged (patience),real
Group_Convolution_2D_kernel,Convolution,arm,success,compute_bound,36,3,5,True,0.2658,0.0337,7.8872,direct/scalar,direct/scalar,direct/scalar=0.0337; gemm/vec=0.0341; direct/vec=0.0378,f390edc4,converged (patience),real
Cosh,Trigonometry,arm,success,memory_bound,48,5,5,True,0.2438,0.1073,2.2721,nchw/none,packed/none,packed/none=0.1073; nhwc/none=0.1199; packed/single=0.143; nchw/none=0.2095; nchw/single=0.243,f390edc4,budget (45) reached,real
Atanh,Trigonometry,arm,success,memory_bound,53,5,5,True,0.2078,0.1826,1.138,nchw/none,nchw/single,nchw/single=0.1826; nchw/none=0.1881; nhwc/none=0.1942; packed/single=0.1944; nhwc/single=0.2059,f390edc4,budget (45) reached,real
Conv,Convolution,arm,success,compute_bound,36,3,2,True,0.178,0.0406,4.3842,direct/scalar,direct/vec,direct/vec=0.0406; gemm/vec=0.0432; direct/scalar=0.178,f390edc4,converged (patience),real
Conv3D,Convolution,arm,success,compute_bound,21,3,3,True,39.1281,5.0477,7.7517,direct/scalar,gemm/vec,gemm/vec=5.048; direct/scalar=7.581; direct/vec=11.99,f390edc4,converged (patience),real
Clip,Tensor,arm,success,memory_bound,46,5,5,True,5.9351,5.1018,1.1633,nchw/none,nchw/single,nchw/single=5.102; nchw/none=5.902; packed/single=6.903; nhwc/none=6.971; nhwc/single=10.19,f390edc4,budget (45) reached,real
Dense_Convolution_1D,Convolution,arm,success,compute_bound,15,3,3,True,2.2333,0.3292,6.784,direct/scalar,gemm/vec,gemm/vec=0.3292; direct/vec=0.6156; direct/scalar=2.233,f390edc4,converged (patience),real
DeconvolutionDepthwise_2D_kernel,Convolution,arm,success,memory_bound,41,2,1,True,1.2323,0.5941,2.0742,nchw/none,nchw/single,nchw/single=0.5941; nchw/none=1.232,f390edc4,converged (patience),real
DeconvolutionDepthwise_2D_stride,Convolution,arm,success,memory_bound,45,3,3,True,1.1557,0.7034,1.643,nchw/none,nchw/single,nchw/single=0.7034; nhwc/single=0.868; nchw/none=1.156,f390edc4,converged (patience),real
Deconvolution_1D,Convolution,arm,success,compute_bound,54,4,6,True,0.7003,0.4562,1.5351,direct/scalar,direct/vec,direct/vec=0.4562; gemm/vec=0.6922; direct/scalar=0.7003; gemm/scalar=1.818,f390edc4,budget (45) reached,real
ReduceMean,Reduction,arm,success,memory_bound,20,4,4,False,0.8384,0.8384,1.0,nchw/none,nchw/none,nchw/none=0.8384; nchw/single=1.345; nchw/double=1.539; nhwc/single=3.717,f390edc4,converged (patience),real
